,has_issues,stargazers_count,forks,size,has_downloads,archived,has_projects,has_wiki,open_issues_count,has_pages
992,1,15311,-0.506009098305388,-0.31523712705943646,1,0,0,0,-0.3861117441992655,1
254,1,31292,-0.5253566141371377,-0.302722186908046,1,0,1,1,-0.22854382526934117,0
928,1,15895,-0.7577918385815837,-0.3188455172030226,1,0,0,0,-0.42081420253502266,0
470,1,22966,-0.5672320593620208,-0.26804864445161,1,0,1,1,-0.39924240411009254,0
94,1,51244,1.6888738107444181,-0.27076824233269037,1,0,1,1,2.668642493626708,0
253,1,31331,-0.15868143395596201,-0.31774650162094215,1,0,0,0,-0.4086214469035404,0
219,1,33695,-0.5192608214778193,-0.2942733383048852,1,0,0,0,-0.1872760369781705,0
619,1,20156,0.15975747387756353,-0.2622209347064377,0,0,1,0,-0.2801285606333045,0
323,1,27527,0.7959727033859931,-0.1322576852797395,0,1,0,0,-0.4264416282110914,0
259,1,31124,0.41935873082549385,0.04744067608178517,1,0,1,1,-0.41049725546223,0
562,1,20980,-0.5013709951950369,-0.2998881636758046,0,0,1,0,-0.17883489846406742,1
448,0,23682,-0.3280384560996348,-0.2961121270874944,1,0,1,0,0.5199037896477995,0
532,1,21545,-0.5490771986157899,-0.3178396385346778,1,0,0,0,-0.42362791537305705,0
624,1,20125,-0.6695353622531909,-0.2755421744253109,1,0,1,1,-0.02314278809283265,0
436,1,23927,0.23197936516731446,-0.14735384846894603,1,0,1,1,1.4493669304784842,0
227,1,32923,-0.44849661973703586,-0.284988918532782,1,0,1,1,-0.30826568901364815,0
828,1,16923,-0.3049804577796042,0.13812675845882907,1,0,0,0,-0.2876317948680628,1
637,1,19847,-0.2045323961325745,0.1271046699818868,1,0,1,1,0.110977523853472,1
659,1,19633,-0.5730628175578906,-0.3179221312297008,1,0,1,1,-0.40486982978616126,0
609,1,20228,-0.3562646264569136,-0.2956357983001036,1,0,1,1,-0.39080126559598943,1
841,1,16799,-0.6736433964366446,0.05468672797041719,1,0,1,1,-0.3954907869927134,0
996,1,15269,-0.5089244774033228,0.5517344870853714,1,0,1,1,-0.4245658196524018,1
469,1,23002,-0.2880182521188921,-0.3068814153700114,1,0,1,1,-0.3092035932929929,0
863,1,16611,-0.11150529946210637,-0.2973974164970461,1,0,1,1,-0.4245658196524018,1
959,0,15635,1.6839706731706185,-0.19439331201479554,1,0,1,1,-0.41424887257960913,0
755,1,17943,-0.3768047973741822,-0.317131797990287,1,0,1,0,-0.2932592205441315,0
654,1,19688,-0.4969979265481346,-0.1382796520164175,1,1,1,1,-0.1563251957597925,0
300,1,28920,-0.17299329498218788,-0.11434346518636058,1,0,0,1,-0.3589125200982667,0
498,1,22433,-0.41324703609836844,-0.18802008606060028,1,0,1,0,-0.19290346265423924,0
538,1,21452,-0.5742554726434095,-0.28772448274193135,1,0,1,1,-0.38142222280254157,0
404,1,24699,-0.5515950260185518,0.4242247300719375,1,0,0,1,0.9119477784139208,0
491,1,22573,-0.1781614670194361,0.40775812372347814,1,0,1,1,-0.27356323067789096,0
208,1,35115,-0.5717376452406475,-0.30599794521686197,1,0,1,1,-0.2022825054476871,1
112,1,48340,-0.06485923389514799,-0.3124802744128618,1,0,0,0,-0.05690734214924501,0
917,0,16051,-0.5624614390199455,-0.2986321458677127,1,0,0,0,-0.40486982978616126,1
120,1,46110,-0.2597920817616133,0.29051205460371066,1,0,0,1,-0.41424887257960913,0
244,1,31668,1.70398077516099,-0.11648029209292375,1,0,1,1,0.6643410486668968,1
995,1,15285,-0.5342352686626667,-0.3154952493632181,1,0,0,0,-0.16101471715651644,1
144,1,42107,-0.16610239893252357,-0.3080975173579309,1,0,1,1,-0.32889958315923346,1
111,1,48458,1.7773953215362597,0.30536872287188277,1,0,1,0,0.15693483354136661,0
